Movement direction;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;Robot speed along X axis;Robot speed along Y axis;Robot rotational velocity;Wheel 1 velocity;Wheel 1 effective velocity;Wheel 1 slippage;Motor 1 voltage;Motor 1 torque;Wheel 2 velocity;Wheel 2 effective velocity;Wheel 2 slippage;Motor 2 voltage;Motor 2 torque;Wheel 3 velocity;Wheel 3 effective velocity;Wheel 3 slippage;Motor 3 voltage;Motor 3 torque;
degree;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;mm/s;mm/s;deg/s;rpm;rpm;none;V;Nm;rpm;rpm;none;V;Nm;rpm;rpm;none;V;Nm;
movedir;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;vx;vy;omega;w1vel;w1effvel;w1slip;m1vol;m1tor;w2vel;w2effvel;w2slip;m2vol;m2tor;w3vel;w3effvel;w3slip;m3vol;m3tor
0;0.1;0;0;-34.641;0;34.641;-844;0;829;-31.1018;0;33.9292;0.538462;0;0.384615;0.532615;-0.0512308;0.307692;878.207;918.138;357.614;2.83438;0.118099;-0.772405;88.1090490845224;0;0;-1.9438625;-1.9076167627645;0.0186462454188522;-4.4314872582;-0.0767218454245378;0;0;0;0;NaN;2.120575;1.9076167627645;0.100424760848121;3.7521970215;0.0425341964273906
0;0.1;0;0;-34.641;0;34.641;-1392;7;1386;-31.1018;0;33.9292;0.153846;0;0.0512821;0.118359;-0.0341538;0.0683761;877.76;916.795;357.614;2.79403;1.0865;0;87.6420953575909;0;0;-1.9438625;-1.89750707037142;0.0238470723256304;-2.3791378206;-0.0117684776169877;0;0;0;0;NaN;2.120575;1.89750707037142;0.105192190622157;1.97349933381;0.00298283455508464
0;0.1;0;0;-34.641;0;34.641;-1942;-1;1939;-31.1018;0;31.1018;0.461538;0.0769231;0.25641;0.414256;-0.0683077;0.264957;877.76;914.11;357.614;1.84923;1.04713;-0.772405;57.6030277544155;0;0;-1.9438625;-1.24714215978049;0.35842058798887;-4.0210131018;-0.0596701909528892;0;0;0;0;NaN;1.9438625;1.24714215978049;0.35842058798887;2.926429581;0.0241261216027436
0;0.1;0;0;-34.641;0;34.641;-3028;-4;3028;-31.1018;0;31.1018;0.153846;0;0.205128;0.207128;0.0170769;0.119658;878.207;909.635;358.386;2.83571;0.0798792;0.772405;87.8990111899818;0;0;-1.9438625;-1.90306934862416;0.0209856156882708;-2.3791378206;-0.0117684776169877;0;0;0;0;NaN;1.9438625;1.90306934862416;0.0209856156882708;2.6527837008;0.0174961003857559
0;0.1;0;0;-34.641;0;34.641;-3951;-4;3942;-33.9292;0;33.9292;0.205128;0;0.25641;0.266308;0.0170769;0.153846;878.207;905.16;358.386;1.89047;0.0532528;0;63.1103321649141;0;0;-2.120575;-1.36637880600217;0.355656458270909;-2.7944364408;-0.01689450851268;0;0;0;0;NaN;2.120575;1.36637880600217;0.355656458270909;3.068082321;0.0231861343010625
0;0.1;0;0;-34.641;0;34.641;-4691;-4;4662;-31.1018;0;33.9292;0.0512821;0;0.230769;0.162744;0.0597692;0.0940171;878.207;902.028;357.614;2.83438;0.118099;-0.772405;88.5356406572124;0;0;-1.9438625;-1.91685280516197;0.0138948587351354;-1.83184659381;-0.00302043419379019;0;0;0;0;NaN;2.120575;1.91685280516197;0.0960693183867711;2.9312593809;0.0199369214738606
0;0.1;0;0;-34.641;0;34.641;-5966;8;5928;-31.1018;0;33.9292;0.282051;0;0.0512821;0.192333;-0.0768462;0.111111;878.207;896.21;358.386;2.83571;0.0798792;0.772405;87.6680269585111;0;0;-1.9438625;-1.89806853130824;0.0235582345416741;-3.0632525211;-0.0277795316293197;0;0;0;0;NaN;2.120575;1.89806853130824;0.104927422369765;1.97349933381;0.00298283455508464
0;0.1;0;0;-34.641;0;34.641;-6876;-2;6845;-33.9292;0;36.7566;0.333333;0.0512821;0.307692;0.369872;-0.00853845;0.230769;878.207;893.077;357.614;2.83438;0.118099;-0.772405;91.2109412711185;0;0;-2.120575;-1.97477476123746;0.0687550493439466;-3.4785511413;-0.0341745719787956;0;0;0;0;NaN;2.2972875;1.97477476123746;0.140388496765224;3.4833809412;0.0291596189136022
0;0.1;0;0;-34.641;0;34.641;-7409;-5;7385;-31.1018;0;33.9292;0.282051;0;0.205128;0.281103;-0.0256154;0.162393;878.207;890.392;358.409;2.83574;0.0787706;0.0223987;88.4399950099801;0;0;-1.9438625;-1.91478213083541;0.0149600957704523;-3.0632525211;-0.0277795316293197;0;0;0;0;NaN;2.120575;1.91478213083541;0.0970457867156742;2.7944364408;0.01689450851268
0;0.1;0;0;-34.641;0;34.641;-7952;-5;7941;-31.1018;0;33.9292;0.282051;0;0.102564;0.221923;-0.0597692;0.128205;878.207;887.26;358.386;2.80842;1.04874;0;88.5071381299045;0;0;-1.9438625;-1.91623581731643;0.0142122617641789;-3.0632525211;-0.0277795316293197;0;0;0;0;NaN;2.120575;1.91623581731643;0.0963602714752231;2.2471446804;0.00679285532817
